ticker,base_date,base_price,tripled_date,tripled_price,multiple
JBCHEPHARM,2023-07-04,553.59,2024-02-07,1707.05,3.08
BSE,2023-07-04,71.39,2023-11-07,220.17,3.08
A2ZINFRA,2023-08-16,7.8,2024-12-24,24.06,3.08
ORIENTALTL,2023-07-04,6.2,2024-08-27,19.04,3.07
POWERINDIA,2023-07-04,4105.62,2024-06-26,12623.63,3.07
NETWEB,2023-07-27,906.6,2024-09-02,2779.46,3.07
JUBLINDS,2023-07-04,553.5,2024-06-25,1698.15,3.07
BHEL,2023-07-04,85.7,2024-03-04,263.0,3.07
PANSARI,2023-07-04,87.45,2025-09-01,268.8,3.07
EMSLIMITED,2023-09-21,279.9,2024-08-08,858.9,3.07
GRPLTD,2023-10-23,3901.35,2024-06-27,11992.95,3.07
TITAGARH,2023-07-04,513.62,2024-06-21,1578.93,3.07
MAZDOCK,2023-07-04,307.66,2024-06-14,944.27,3.07
CHENNPETRO,2023-07-04,301.07,2024-04-24,925.21,3.07
NATIONALUM,2023-07-04,67.91,2024-11-06,208.43,3.07
SBGLP,2023-07-04,208.7,2024-01-05,640.15,3.07
NAM-INDIA,2023-07-04,245.21,2024-12-10,753.46,3.07
PRECOT,2023-07-04,182.8,2024-11-14,561.65,3.07
ZENITHEXPO,2023-10-09,110.0,2024-06-13,338.11,3.07
EIMCOELECO,2023-09-11,953.3,2024-08-26,2922.6,3.07
SHRADHA,2023-09-25,49.8,2024-06-24,152.65,3.07
URJA,2023-07-04,10.2,2024-01-30,31.35,3.07
HLVLTD,2023-07-04,12.85,2024-02-07,39.4,3.07
GODFRYPHLP,2023-07-04,183.32,2024-08-19,562.61,3.07
SONATSOFTW,2023-07-04,235.49,2023-12-12,722.83,3.07
SHILPAMED,2023-07-04,304.5,2024-11-21,936.0,3.07
PARACABLES,2023-07-04,35.95,2024-01-25,110.05,3.06
AXISCADES,2023-10-09,576.15,2025-09-22,1764.4,3.06
BEL,2023-07-04,117.39,2025-05-16,359.15,3.06
VENUSREM,2023-09-25,256.2,2026-03-10,783.4,3.06
SUDARSCHEM,2023-07-04,491.05,2025-08-28,1500.3,3.06
HINDCOPPER,2023-07-04,115.58,2024-04-09,353.55,3.06
PREMEXPLN,2023-07-04,431.0,2023-11-15,1319.75,3.06
KEYFINSERV,2023-07-04,94.8,2024-08-19,290.05,3.06
THOMASCOOK,2023-07-04,78.6,2024-06-19,240.25,3.06
GOKULAGRO,2023-07-04,107.05,2024-11-26,327.5,3.06
KIRLOSBROS,2023-07-04,608.15,2024-05-16,1862.9,3.06
DYNAMATECH,2023-07-04,3775.7,2026-04-22,11541.0,3.06
EXCEL,2024-04-23,0.5,2025-12-24,1.53,3.06
LGHL,2024-01-31,192.25,2024-12-30,589.2,3.06
IRCON,2023-07-04,78.09,2024-04-26,238.96,3.06
PFC,2023-07-04,114.14,2023-12-13,349.76,3.06
GOODLUCK,2023-07-04,449.9,2026-05-05,1374.5,3.06
SYNCOMF,2023-07-04,7.55,2024-09-06,23.13,3.06
WELENT,2023-07-04,194.43,2024-08-23,595.37,3.06
SUNDARMHLD,2023-07-04,95.95,2024-05-28,293.3,3.06
ADANIPOWER,2023-07-04,9.88,2024-05-31,30.23,3.06
PENINLAND,2023-07-04,24.8,2024-06-24,75.83,3.06
DHUNINV,2023-07-04,714.5,2024-09-10,2185.3,3.06
GAYAHWS,2023-11-06,0.9,2026-02-12,2.75,3.06
INOXGREEN,2023-07-04,55.8,2024-06-21,170.82,3.06
DEEPAKFERT,2023-07-04,561.28,2025-07-01,1718.79,3.06
STEL,2023-07-04,140.65,2024-06-06,430.15,3.06
FSL,2023-07-04,116.94,2024-11-06,356.42,3.05
DBREALTY,2023-07-04,73.05,2024-01-12,222.65,3.05
KERNEX,2024-03-11,615.05,2026-06-03,1877.9,3.05
TIMESGTY,2023-07-04,56.15,2024-12-09,171.41,3.05
CESC,2023-07-04,60.37,2024-08-27,183.86,3.05
ELECTCAST,2023-07-04,60.1,2024-02-02,183.3,3.05
CUBEXTUB,2023-09-11,41.85,2025-01-20,127.53,3.05
DREDGECORP,2023-07-04,338.75,2024-05-24,1032.7,3.05
THYROCARE,2023-07-04,508.77,2025-11-18,1551.25,3.05
MINDTECK,2023-09-25,145.1,2024-08-01,442.75,3.05
UNIVCABLES,2023-07-04,382.65,2026-05-25,1165.9,3.05
CHEMFAB,2023-07-04,324.2,2024-09-06,989.4,3.05
TFCILTD,2023-07-04,76.75,2024-02-05,234.2,3.05
ITDCEM,2023-07-04,161.75,2024-06-18,493.85,3.05
JAYNECOIND,2023-07-04,22.8,2025-09-15,69.45,3.05
MANGLMCEM,2023-07-04,303.75,2024-05-02,927.15,3.05
SOMICONVEY,2023-10-23,77.15,2024-06-26,235.58,3.05
LICI,2023-07-04,141.33,2026-06-29,431.25,3.05
GICRE,2023-07-04,155.32,2024-12-20,474.46,3.05
ZOTA,2023-07-04,376.0,2025-07-03,1146.95,3.05
RVNL,2023-07-04,119.93,2024-05-23,366.09,3.05
WELCORP,2023-07-04,260.32,2024-11-07,793.37,3.05
DPABHUSHAN,2023-07-04,270.6,2024-03-19,825.7,3.05
THANGAMAYL,2023-07-04,1504.3,2026-06-02,4590.7,3.05
AVANTIFEED,2023-07-04,391.4,2026-02-11,1193.5,3.05
FORTIS,2023-07-04,310.6,2025-08-13,945.8,3.05
PENIND,2023-07-04,79.4,2025-06-02,241.95,3.05
HIRECT,2023-10-23,416.8,2024-11-29,1270.0,3.05
HERITGFOOD,2023-07-04,216.7,2024-06-07,661.25,3.05
DCMSRIND,2023-07-04,76.28,2024-06-14,231.58,3.04
SCI,2023-07-04,89.91,2026-02-17,273.12,3.04
DIXON,2023-07-04,4354.27,2024-08-23,13258.75,3.04
3PLAND,2023-09-11,23.35,2024-12-16,71.06,3.04
RHL,2023-07-04,97.55,2025-07-09,296.55,3.04
TVVISION,2023-07-04,2.25,2024-02-19,6.85,3.04
MODISONLTD,2023-07-04,69.65,2024-09-17,211.57,3.04
WIPRO,2023-07-04,86.65,2024-12-05,263.13,3.04
POKARNA,2023-07-04,363.1,2024-09-23,1102.65,3.04
TI,2023-07-04,154.7,2025-07-22,470.35,3.04
SETCO,2024-03-18,7.1,2026-04-02,21.57,3.04
KOTHARIPET,2023-07-04,77.7,2024-08-30,235.9,3.04
GRMOVER,2023-07-04,166.55,2025-12-23,505.55,3.04
SOMATEX,2024-02-19,25.7,2025-07-15,78.22,3.04
ANTGRAPHIC,2023-07-04,0.7,2024-08-28,2.13,3.04
NUVAMA,2023-10-11,85.08,2024-09-13,258.54,3.04
JPPOWER,2023-07-04,6.25,2024-02-02,19.0,3.04
ORCHPHARMA,2023-10-03,515.15,2024-08-09,1566.7,3.04
MONARCH,2023-07-04,272.5,2024-08-23,828.65,3.04
MOREPENLAB,2023-07-04,29.85,2024-09-04,90.79,3.04
RECLTD,2023-07-04,120.47,2024-01-19,365.86,3.04
SURANAT&P,2023-07-04,9.25,2024-07-03,28.15,3.04
COALINDIA,2023-07-04,154.64,2026-03-12,470.1,3.04
BLUESTARCO,2023-07-04,749.62,2025-01-02,2270.83,3.03
RVHL,2023-07-04,25.55,2024-12-13,77.53,3.03
GVPIL,2025-08-28,348.3,2026-06-17,1055.2,3.03
TRENT,2023-07-04,767.05,2024-06-14,2320.46,3.03
GALLANTT,2023-07-04,60.72,2023-12-27,184.28,3.03
INDIANB,2023-07-04,261.75,2025-10-23,792.09,3.03
PRESTIGE,2023-07-04,570.21,2024-06-03,1727.9,3.03
BIL,2023-10-23,240.95,2025-07-01,730.0,3.03
TCIFINANCE,2024-06-03,7.6,2026-06-10,23.0,3.03
MICEL,2023-10-03,27.15,2024-06-28,82.24,3.03
IREDA,2023-11-29,59.37,2024-01-31,179.89,3.03
VOLTAMP,2023-07-04,3962.45,2024-05-21,12012.05,3.03
MARINE,2023-07-04,48.6,2024-06-14,147.1,3.03
MANINDS,2023-07-04,148.3,2024-02-02,449.8,3.03
SUZLON,2023-07-04,18.3,2024-07-05,55.49,3.03
SUVEN,2023-07-04,60.7,2025-05-14,184.11,3.03
NLCINDIA,2023-07-04,100.59,2026-04-20,304.35,3.03
CUPID,2023-07-04,247.15,2023-11-06,748.7,3.03
21STCENMGM,2023-07-04,22.4,2025-04-01,67.9,3.03
ABSLAMC,2023-07-04,366.63,2026-06-10,1110.3,3.03
IMFA,2023-07-04,325.3,2024-12-11,985.35,3.03
IFBAGRO,2023-07-04,538.6,2026-01-07,1633.0,3.03
OFSS,2023-07-04,3099.52,2024-08-01,9387.63,3.03
PARADEEP,2023-07-04,60.36,2025-07-21,182.68,3.03
CARTRADE,2023-07-04,491.85,2024-12-09,1492.75,3.03
PILANIINVS,2023-07-04,1911.2,2024-10-16,5792.95,3.03
SURANASOL,2023-07-04,21.55,2024-10-03,65.38,3.03
SENCO,2023-07-14,405.3,2024-09-09,1222.7,3.02
ASTERDM,2023-07-04,187.65,2025-05-14,566.82,3.02
KSL,2023-07-04,349.85,2024-12-12,1056.5,3.02
ASHOKA,2023-07-04,80.75,2024-06-20,243.82,3.02
SUMMITSEC,2023-07-04,724.3,2024-08-22,2188.75,3.02
HAL,2023-07-04,871.72,2023-12-11,2634.9,3.02
SJS,2023-07-04,582.31,2025-11-11,1758.68,3.02
AIIL,2024-04-23,36.98,2025-07-17,111.74,3.02
CUB,2023-07-04,68.12,2026-06-16,205.45,3.02
ARIHANTSUP,2023-07-04,175.6,2025-01-03,529.95,3.02
BASF,2023-07-04,2624.9,2024-10-01,7916.15,3.02
LAURUSLABS,2023-07-04,345.79,2025-12-19,1043.12,3.02
COUNCODOS,2023-07-04,3.95,2025-04-28,11.92,3.02
KESORAMIND,2023-07-04,62.1,2024-05-24,187.65,3.02
CENTEXT,2023-07-04,10.05,2025-10-07,30.38,3.02
GABRIEL,2023-07-04,188.11,2025-03-18,567.26,3.02
NAVKARCORP,2023-07-04,54.85,2024-12-09,165.45,3.02
ARIHANTCAP,2023-07-04,38.85,2024-09-16,117.44,3.02
SIGNATURE,2023-09-27,458.55,2024-03-01,1383.85,3.02
SHYAMTEL,2023-07-04,7.0,2024-10-30,21.11,3.02
KARURVYSYA,2023-07-04,82.63,2025-10-27,249.75,3.02
RADHIKAJWE,2023-07-04,37.9,2024-08-23,114.37,3.02
LLOYDSME,2023-07-17,561.79,2026-04-23,1695.77,3.02
HINDMOTORS,2023-07-04,14.6,2024-05-07,44.1,3.02
TATAINVEST,2023-07-04,22.99,2024-02-26,69.53,3.02
EPACK,2024-01-30,207.6,2025-01-03,625.1,3.01
PRICOLLTD,2023-07-04,219.5,2025-11-19,661.1,3.01
BRNL,2023-07-04,31.05,2024-01-31,93.6,3.01
CAPLIPOINT,2023-07-04,777.66,2024-12-04,2340.36,3.01
WEL,2023-07-04,218.05,2024-03-27,656.15,3.01
KIRLOSENG,2023-07-04,391.63,2024-05-16,1179.5,3.01
ARVIND,2023-07-04,138.9,2024-12-10,417.8,3.01
BEML,2023-07-04,384.07,2024-06-14,1157.6,3.01
HBLPOWER,2023-07-04,155.25,2023-12-15,467.45,3.01
STAR,2023-07-04,483.6,2024-10-04,1457.9,3.01
GANESHHOUC,2023-07-04,413.95,2024-11-28,1245.65,3.01
LUMAXTECH,2023-07-04,352.45,2025-06-17,1062.3,3.01
NITIRAJ,2023-07-04,84.5,2024-09-30,254.74,3.01
