ticker,company_name,sector,screener_url
ANUP,The Anup Engineering Ltd,Capital Goods,/company/ANUP/consolidated/
SUNTECK,Sunteck Realty Ltd,Realty,/company/SUNTECK/consolidated/
RTNINDIA,RattanIndia Enterprises Ltd,Consumer Services,/company/RTNINDIA/consolidated/
KSCL,Kaveri Seed Company Ltd,Fast Moving Consumer Goods,/company/KSCL/consolidated/
MIDWESTLTD,Midwest Ltd,Consumer Durables,/company/MIDWESTLTD/consolidated/
GUJALKALI,Gujarat Alkalies & Chemicals Ltd,Chemicals,/company/GUJALKALI/consolidated/
FCL,Fineotex Chemical Ltd,Chemicals,/company/FCL/consolidated/
AGIIL,AGI Infra Ltd,Realty,/company/AGIIL/consolidated/
PACEDIGITK,Pace Digitek Ltd,Telecommunication,/company/PACEDIGITK/consolidated/
TEXRAIL,Texmaco Rail & Engineering Ltd,Capital Goods,/company/TEXRAIL/consolidated/
VADILALIND,Vadilal Industries Ltd,Fast Moving Consumer Goods,/company/VADILALIND/consolidated/
PREMEXPLN,Premier Explosives Ltd,Chemicals,/company/PREMEXPLN/consolidated/
MANINDS,Man Industries (India) Ltd,Capital Goods,/company/MANINDS/consolidated/
LXCHEM,Laxmi Organic Industries Ltd,Chemicals,/company/LXCHEM/consolidated/
SBCL,Shivalik Bimetal Controls Ltd,Capital Goods,/company/SBCL/consolidated/
JUNIPER,Juniper Hotels Ltd,Consumer Services,/company/JUNIPER/consolidated/
NRBBEARING,NRB Bearings Ltd,Automobile and Auto Components,/company/NRBBEARING/consolidated/
VIPIND,V I P Industries Ltd,Consumer Durables,/company/VIPIND/consolidated/
IBULLSLTD,Indiabulls Limited,Services,/company/IBULLSLTD/consolidated/
UNIVCABLES,Universal Cables Ltd,Capital Goods,/company/UNIVCABLES/consolidated/
MANINFRA,Man Infraconstruction Ltd,Realty,/company/MANINFRA/consolidated/
RAYMONDREL,Raymond Realty Ltd,Realty,/company/RAYMONDREL/consolidated/
ELITECON,Elitecon International Ltd,Fast Moving Consumer Goods,/company/ELITECON/consolidated/
BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Fast Moving Consumer Goods,/company/BAJAJHIND/consolidated/
SANDHAR,Sandhar Technologies Limited,Automobile and Auto Components,/company/SANDHAR/consolidated/
INDOSTAR,Indostar Capital Finance Ltd,Financial Services,/company/INDOSTAR/consolidated/
OPTIEMUS,Optiemus Infracom Ltd,Telecommunication,/company/OPTIEMUS/consolidated/
KIRLOSIND,Kirloskar Industries Ltd,Capital Goods,/company/KIRLOSIND/consolidated/
VISHNU,Vishnu Chemicals Ltd,Chemicals,/company/VISHNU/consolidated/
MOSCHIP,Moschip Technologies Ltd,Information Technology,/company/MOSCHIP/consolidated/
FOSECOIND,Foseco India Ltd,Chemicals,/company/FOSECOIND/consolidated/
CAPILLARY,Capillary Technologies India Ltd,Information Technology,/company/CAPILLARY/consolidated/
STYRENIX,Styrenix Performance Materials Ltd,Chemicals,/company/STYRENIX/consolidated/
TRUALT,TruAlt Bioenergy Ltd,Fast Moving Consumer Goods,/company/TRUALT/consolidated/
SHOPERSTOP,Shoppers Stop Ltd,Consumer Services,/company/SHOPERSTOP/consolidated/
GHCL,GHCL Ltd,Chemicals,/company/GHCL/consolidated/
QUESS,Quess Corp Ltd,Services,/company/QUESS/consolidated/
ASHIANA,Ashiana Housing Ltd,Realty,/company/ASHIANA/consolidated/
WHEELS,Wheels India Ltd,Automobile and Auto Components,/company/WHEELS/consolidated/
HIRECT,Hind Rectifiers Ltd,Capital Goods,/company/HIRECT/consolidated/
MARINE,Marine Electricals (India) Ltd,Capital Goods,/company/MARINE/consolidated/
KDDL,KDDL Ltd,Consumer Durables,/company/KDDL/consolidated/
ADVENZYMES,Advanced Enzyme Technologies Ltd,Healthcare,/company/ADVENZYMES/consolidated/
VAIBHAVGBL,Vaibhav Global Ltd,Consumer Durables,/company/VAIBHAVGBL/consolidated/
RAYMOND,Raymond Ltd,Capital Goods,/company/RAYMOND/consolidated/
SAMHI,Samhi Hotels Ltd,Consumer Services,/company/SAMHI/consolidated/
EIEL,Enviro Infra Engineers Ltd,Utilities,/company/EIEL/consolidated/
PSPPROJECT,PSP Projects Ltd,Construction,/company/PSPPROJECT/consolidated/
SINDHUTRAD,Sindhu Trade Links Ltd,"Oil, Gas & Consumable Fuels",/company/SINDHUTRAD/consolidated/
HARSHA,Harsha Engineers International Ltd,Capital Goods,/company/HARSHA/consolidated/
SMSPHARMA,SMS Pharmaceuticals Ltd,Healthcare,/company/SMSPHARMA/consolidated/
SANGHVIMOV,Sanghvi Movers Ltd,Services,/company/SANGHVIMOV/consolidated/
SANATHAN,Sanathan Textiles Ltd,Textiles,/company/SANATHAN/consolidated/
RAMRAT,Ram Ratna Wires Ltd,Capital Goods,/company/RAMRAT/consolidated/
DECNGOLD,Deccan Gold Mines Ltd,Metals & Mining,/company/DECNGOLD/consolidated/
HGINFRA,H.G. Infra Engineering Ltd,Construction,/company/HGINFRA/consolidated/
MAYURUNIQ,Mayur Uniquoters Ltd,Consumer Durables,/company/MAYURUNIQ/consolidated/
GREENPLY,Greenply Industries Ltd,Consumer Durables,/company/GREENPLY/consolidated/
KNRCON,KNR Constructions Ltd,Construction,/company/KNRCON/consolidated/
BHAGCHEM,Bhagiradha Chemicals & Industries Ltd,Chemicals,/company/BHAGCHEM/consolidated/
