ticker,max_gap_pct,num_gaps,avg_gap_pct,action_types,priority_score
RAJRAYON,18.3,6,11.616666666666667,"e=2008-09-19 00,e=2010-07-29 00,e=2013-03-04 00,e=2013-09-19 00,e=2014-09-19 00,e=2015-09-21 00",39.45
ICIL,16.9,7,10.857142857142858,"e=2016-11-11 00,e=2009-09-17 00,e=2012-08-14 00,e=2013-07-16 00,e=2020-07-22 00,e=2024-07-24 00",39.349999999999994
DUCON,22.1,3,11.233333333333334,"e=2015-09-22 00,e=2022-04-18 00,e=2026-08-25 00",39.150000000000006
SURANAT&P,19.2,5,8.24,"e=2010-08-17 00,e=2012-09-24 00,e=2014-11-25 00",38.8
STCINDIA,19.1,5,12.280000000000001,"e=2007-09-19 00,e=2008-03-19 00,e=2008-09-15 00,e=2011-09-22 00,e=2019-09-13 00",38.650000000000006
UDAICEMENT,23.1,2,15.65,"e=2023-06-14 00,e=2023-08-09 00",38.650000000000006
PDPL,23.0,2,14.1,"e=2010-09-13 00,e=2018-09-19 00",38.5
PRAKASHSTL,20.2,4,18.675,"e=2016-03-03 00,e=2015-09-21 00,e=2017-09-21 00,e=2018-09-19 00",38.3
COALINDIA,14.8,8,7.8875,"e=2013-03-18 00,e=2014-01-17 00,e=2016-03-14 00,e=2017-03-14 00,e=2018-03-16 00,e=2020-03-19 00,e=2021-12-06 00,e=2022-11-15 00",38.2
CGCL,20.1,4,16.55,"e=2010-11-24 00,e=2020-07-23 00,e=2024-03-05 00",38.150000000000006
KOTARISUG,20.1,4,9.875,"e=2007-09-19 00,e=2015-08-03 00,e=2018-07-23 00,e=2019-07-30 00",38.150000000000006
JMFINANCIL,20.1,4,11.175,"e=2008-09-08 00,e=2014-02-07 00,e=2014-06-25 00,e=2016-02-11 00",38.150000000000006
JMTAUTOLTD,20.0,4,10.1,"e=2007-08-16 00,e=2010-07-22 00,e=2015-06-25 00,e=2016-09-21 00",38.0
JINDALPHOT,20.0,4,12.8,"e=2016-05-26 00,e=2016-05-12 00,e=2018-09-21 00,e=2023-09-20 00",38.0
WHEELS,20.0,4,11.3,"e=2012-03-20 00,e=2014-01-06 00,e=2014-02-13 00,e=2021-07-27 00",38.0
ENGINERSIN,20.0,4,13.775,"e=2010-05-06 00,e=2014-08-13 00,e=2016-12-30 00,e=2024-02-12 00",38.0
PARASPETRO,20.0,4,15.5,"e=2010-09-22 00,e=2011-09-22 00,e=2012-09-20 00,e=2015-09-21 00",38.0
BBOX,20.0,4,10.575,"e=2022-05-13 00,e=2012-07-16 00,e=2012-12-19 00,e=2018-07-24 00",38.0
VIVIDHA,20.0,4,16.55,"e=2015-05-28 00,e=2019-09-20 00,e=2020-12-21 00",38.0
SHAHALLOYS,19.9,4,12.75,"e=2009-09-08 00,e=2011-09-15 00,e=2016-09-14 00,e=2019-09-11 00",37.849999999999994
INDIANCARD,17.2,6,8.65,"e=2012-02-08 00,e=2013-07-22 00,e=2016-08-04 00,e=2016-08-25 00,e=2022-05-12 00,e=2022-07-07 00",37.8
BSOFT,11.8,10,7.18,"e=2010-07-08 00,e=2012-03-13 00,e=2015-08-11 00,e=2017-08-10 00,e=2019-01-24 00,e=2021-07-15 00,e=2022-07-14 00,e=2024-07-12 00,e=2026-07-10 00",37.7
