ticker,gap_pct,action_type,ex_date,ratio,severity
PRICOLLTD,15.5,e=2020-11-24 00,2020-11-24,,critical
BANKRAJAS,15.5,e=2009-08-13 00,2009-08-13,,critical
SREINFRA,15.5,e=2015-07-22 00,2015-07-22,,critical
VENKEYS,15.5,e=2016-09-08 00,2016-09-08,,critical
TORNTPHARM,15.5,e=2006-02-20 00,2006-02-20,,critical
NEOGEN,15.5,e=2024-09-19 00,2024-09-19,,critical
GKW,15.5,e=2007-08-13 00,2007-08-13,,critical
IRCON,15.5,e=2020-04-03 00,2020-04-03,,critical
TOKYOPLAST,15.5,e=2010-09-24 00,2010-09-24,,critical
BSELINFRA,15.5,e=2016-09-15 00,2016-09-15,,critical
KRISHNAENG,15.4,e=2010-09-23 00,2010-09-23,,critical
BLS,15.4,e=2022-09-13 00,2022-09-13,,critical
ARVINDFASN,15.4,e=2020-03-17 00,2020-03-17,,critical
GITANJALI,15.4,e=2016-09-15 00,2016-09-15,,critical
KDDL,15.4,e=2020-03-09 00,2020-03-09,,critical
SANGHVIFOR,15.3,e=2013-09-18 00,2013-09-18,,critical
ARROWGREEN,15.3,e=2020-02-12 00,2020-02-12,,critical
INDOSTAR,15.3,e=2020-09-16 00,2020-09-16,,critical
BPCL,15.3,e=2020-03-23 00,2020-03-23,,critical
FMGOETZE,15.3,e=2008-11-03 00,2008-11-03,,critical
BSL,15.2,e=2014-09-11 00,2014-09-11,,critical
NISSAN,15.2,e=2010-07-06 00,2010-07-06,,critical
ONELIFECAP,15.2,e=2014-09-19 00,2014-09-19,,critical
SAMBHAAV,15.2,e=2016-09-01 00,2016-09-01,,critical
MANINFRA,15.2,e=2010-11-24 00,2010-11-24,,critical
DVL,15.2,e=2010-07-15 00,2010-07-15,,critical
CHENNPETRO,15.1,e=2024-07-19 00,2024-07-19,,critical
KRISHNAENG,15.1,e=2011-09-21 00,2011-09-21,,critical
GABRIEL,15.0,e=2007-08-16 00,2007-08-16,,critical
AVANTIFEED,15.0,e=2018-06-26 00,2018-06-26,,critical
GLOBE,15.0,e=2024-02-23 00,2024-02-23,,critical
SITASHREE,15.0,e=2016-09-19 00,2016-09-19,,critical
SECURCRED,14.9,e=2023-01-04 00,2023-01-04,,critical
NILAINFRA,14.9,e=2018-06-14 00,2018-06-14,,critical
HTMEDIA,14.9,e=2019-04-09 00,2019-04-09,,critical
VAIBHAVGBL,14.9,e=2018-07-19 00,2018-07-19,,critical
KWALITY,14.9,e=2010-06-15 00,2010-06-15,,critical
GREENPLY,14.9,e=2007-11-19 00,2007-11-19,,critical
EXCELCROP,14.9,e=2017-07-13 00,2017-07-13,,critical
GRAVITA,14.8,e=2019-09-11 00,2019-09-11,,critical
KPITTECH,14.8,e=2020-03-19 00,2020-03-19,,critical
SIEMENS,14.8,e=2025-04-07 00,2025-04-07,,critical
COALINDIA,14.8,e=2020-03-19 00,2020-03-19,,critical
BFUTILITIE,14.8,e=2010-03-11 00,2010-03-11,,critical
