ticker,gap_count
SRIADIKARI,1
SRPL,1
TWILITAKA,1
SSDL,1
TVSMOTOR,1
SSWL,1
TV-18,1
STARPAPER,1
TREEHOUSE,1
TULIP,1
TTML,1
STEELXIND,1
TSFINV,1
SUBCAPCITY,1
SUBEXLTD,1
TRENT,1
SREINFRA,1
SPSL,1
UGROCAP,1
SPENCERS,1
SKUMARSYNF,1
UNIVPHOTO,1
SMPL,1
SOFTTECHGR,1
UNIVASTU,1
SOLEMS,1
UNITECH,1
SOMICONVEY,1
UNIPLY,1
SONACOMS,1
UNIENTER,1
SOUISPAT,1
SPAL,1
SPARC,1
UJAAS,1
SUKHJITS,1
TREADS,1
SKIPPER,1
TELEDATAIT,1
THEINVEST,1
TANTIACONS,1
TARAPUR,1
TARIL,1
TATACOFFEE,1
TATACOMM,1
TATAELXSI,1
TATASTLBSL,1
SUNFLAG,1
TCC,1
TELEDATAGL,1
TECHNOFAB,1
TECHNOELEC,1
TECHNOE,1
TCIDEVELOP,1
TCIEXP,1
THEMISMED,1
TANFACIND,1
TALBROAUTO,1
TAKSHEEL,1
SUNPHARMA,1
SUPERHOUSE,1
TPHQ,1
TOTAL,1
SUPREMEINF,1
TODAYS,1
TNTELE,1
TNPETRO,1
SURYODAY,1
SUVEN,1
SUZLON,1
TMCV,1
TITAGARH,1
SWSOLAR,1
TAJGVK,1
SKMEGGPROD,1
USHERAGRO,1
WANBURY,1
SBT,1
VINEETLAB,1
SAYAJIHOTL,1
VIKASWSP,1
SBC,1
SBCL,1
VIKASHMET,1
SBGLP,1
SCHAEFFLER,1
VICEROY,1
SCHAND,1
VIJSHAN,1
SELMC,1
SENCO,1
SERVALL,1
VIDHIING,1
SETCO,1
SATIN,1
VINNY,1
VIPCLOTHNG,1
VIPULLTD,1
SAGCEM,1
VTMLTD,1
VTL,1
VSSL,1
SALONA,1
VOLTAS,1
SALONACOT,1
VKSPL,1
VISHWARAJ,1
SAMTEL,1
VISHALEXPO,1
SANDUMA,1
SANGAMIND,1
SANGHIIND,1
SANGHIPOLY,1
SEZALGLASS,1
SFCL,1
SKIL,1
SIKKO,1
VALIANTLAB,1
VALECHAENG,1
SHRIRAMFIN,1
SHYAMCENT,1
V2RETAIL,1
SIGACHI,1
SIGROUPIND,1
SILGO,1
SFL,1
SILVERTUC,1
SIMBHALS,1
SIMBHSUGAR,1
SIMPLEXCAS,1
UTTAMSTL,1
UTKARSHBNK,1
UTIAMC,1
SHREEPUSHK,1
SHREECEM,1
VARUN,1
SHREDIGCEM,1
VESUVIUS,1
SHALBY,1
SHANKARA,1
SHANTI,1
VEEDOL,1
SHARONBIO,1
SHEMAROO,1
SHILPAMED,1
VCL,1
SHILPI,1
SHIVAMAUTO,1
VASCONEQ,1
SHIVTEX,1
SHLAKSHMI,1
SHRADHA,1
20MICRONS,1
LAMBODHARA,1
RAJRATAN,1
FLFL,1
DRCSYSTEMS,1
DRREDDY,1
DSSL,1
DYCL,1
DYNASYS,1
E2E,1
EASTSILK,1
EDL,1
EIMCOELECO,1
EKC,1
ELDERPHARM,1
ELGIRUBCO,1
EMAMILTD,1
EMAMIPAP,1
EMCO,1
EMPEESUG,1
EON,1
EPIGRAL,1
ESCORTS,1
ESSARSHPNG,1
ESSDEE,1
EVEREADY,1
EVERESTIND,1
EVERONN,1
EXCELINDUS,1
FACT,1
FILATFASH,1
DQE,1
DLINKINDIA,1
DICIND,1
DAMODARIND,1
CORDELIA,1
COROENGG,1
COROMANDEL,1
CRANESSOFT,1
CREST,1
CREWBOS,1
